City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,beau vallon,-20.4189,57.6953,21.13,94,40,0.0,MU,1690254976
123,uusikaupunki,60.8004,21.4084,12.01,90,10,2.95,FI,1690255026
124,sosnovka,56.255,51.2842,15.53,88,62,1.52,RU,1690255026
125,nha trang,12.25,109.1833,31.0,58,100,1.64,VN,1690255027
126,murmashi,68.8154,32.8115,9.23,100,100,3.13,RU,1690255027
127,faya-largeau,17.9257,19.1043,30.58,21,79,1.4,TD,1690255027
128,alaghsas,17.0187,8.0168,28.12,54,74,4.37,NE,1690255027
129,vilyuchinsk,52.9306,158.4028,25.15,63,1,3.82,RU,1690254904
130,mermoz boabab,14.7065,-17.4758,25.31,76,70,0.98,SN,1690254740
131,thief river falls,48.1191,-96.1812,23.53,100,20,3.6,US,1690255027
132,castillos,-34.1667,-53.8333,9.83,93,100,4.54,UY,1690254917
133,kourou,5.1552,-52.6478,24.03,89,87,2.97,GF,1690254906
134,usinsk,65.9939,57.5281,18.12,72,7,2.52,RU,1690254952
135,mogadishu,2.0371,45.3438,24.48,84,35,7.64,SO,1690254993
136,nova sintra,14.8667,-24.7167,22.4,84,100,6.67,CV,1690254870
137,sao vicente,-23.9631,-46.3919,24.04,26,7,1.65,BR,1690254917
138,fort bragg,35.139,-79.006,25.91,86,20,0.0,US,1690254452
139,georgetown,5.4112,100.3354,31.96,74,20,1.54,MY,1690254878
140,burdur,37.7203,30.2908,19.39,64,0,6.69,TR,1690255028
141,neya,58.2972,43.8681,13.36,96,100,1.93,RU,1690255028
142,pionerskiy,54.9508,20.2275,16.91,88,85,4.93,RU,1690254921
143,petropavlovsk-kamchatsky,53.0452,158.6483,24.33,44,40,3.0,RU,1690254874
144,udachny,66.4167,112.4,18.99,51,80,2.24,RU,1690254876
145,bethel,41.3712,-73.414,24.2,81,0,1.54,US,1690254872
146,bilibino,68.0546,166.4372,12.15,84,100,0.73,RU,1690254868
147,rongelap,11.1635,166.8941,28.96,71,34,6.19,MH,1690254879
148,zhangye,38.9342,100.4517,31.09,12,71,7.83,CN,1690254989
149,la'ie,21.6477,-157.9253,29.98,72,1,6.79,US,1690254881
150,acarau,-2.8856,-40.12,25.59,82,13,6.68,BR,1690254989
151,takoradi,4.8845,-1.7554,24.41,92,100,2.63,GH,1690254941
152,fale old settlement,-9.3852,-171.2468,28.76,73,7,8.63,TK,1690254881
153,port moresby,-9.4431,147.1797,26.97,60,88,5.85,PG,1690254721
154,narvik,68.4384,17.4272,14.1,94,61,0.86,NO,1690255029
155,kiunga,-6.1219,141.2906,27.17,66,93,2.05,PG,1690255029
156,nikolayevsk-on-amure,53.1406,140.73,28.52,46,61,3.44,RU,1690254877
157,kharan,28.5833,65.4167,30.48,51,100,0.94,PK,1690255030
158,coquimbo,-29.9533,-71.3436,12.85,82,0,2.06,CL,1690254797
159,chachapoyas,-6.2317,-77.869,10.6,94,100,1.47,PE,1690255030
160,qarazhal,48.0078,70.7903,26.63,24,0,3.95,KZ,1690255030
161,richlands,37.0932,-81.7937,21.09,74,21,0.66,US,1690255030
